Name,URL,Address,Trust,Postcode,ID,Hospital,Rating,Care Quality Commission inspection ratings,Friends and Family Test score: A&E,Friends and Family Test Score: Community,Friends and Family Test score: Inpatient,Friends and Family Test score: Maternity,Friends and Family test score: Outpatients,Friends and Family Test score: Staff - Care,Friends and Family Test score: Staff - Work,Friends and Family Test score: Mental Health,Friends and Family Test score: Ambulance patient transport
The Chelmsford Private Day Surgery Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=97247,"Fenton House, 85-89 New London Road, Chelmsford, Essex, CM2 0PP",Southend University Hospital NHS Foundation Trust,CM2 0PP,97247,The Chelmsford Private Day Surgery Hospital,NA,NA,NA,NA,NA,NA,95%,62%,48%,NA,NA
Alton Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=88918,"Chawton Park Road, Alton, Hampshire, GU34 1RJ",Southern Health NHS Foundation Trust,GU34 1RJ,88918,Alton Community Hospital,NA,No rating,NA,98%,NA,NA,NA,NA,NA,84%,NA
Andover War Memorial Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=115392,"War Memorial Hospital, Charlton Road, Andover, Hampshire, SP10 3LB",Southern Health NHS Foundation Trust,SP10 3LB,115392,Andover War Memorial Hospital,NA,Requires Improvement,94%,NA,99%,NA,95%,82%,57%,NA,NA
Ashurst Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=114575,"Lyndhurst Road, Ashurst, Southampton, Hampshire, SO40 7AR",Southern Health NHS Foundation Trust,SO40 7AR,114575,Ashurst Hospital,NA,NA,NA,98%,NA,NA,NA,NA,NA,84%,NA
Chase Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=88944,"Conde Way, Bordon, Hampshire, GU35 0YZ",Southern Health NHS Foundation Trust,GU35 0YZ,88944,Chase Community Hospital,NA,NA,NA,97%,NA,NA,NA,87%,71%,86%,NA
Fareham Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=33286,"Brook Lane, Sarisbury Green, Sarisbury, Fareham, Hampshire, SO31 7DQ",Southern Health NHS Foundation Trust,SO31 7DQ,33286,Fareham Community Hospital,NA,NA,NA,98%,NA,NA,NA,NA,NA,84%,NA
Fareham Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=115901,"Brook Lane, Sarisbury Green, Southampton, Hampshire, SO31 7DQ",Southern Health NHS Foundation Trust,SO31 7DQ,115901,Fareham Community Hospital,NA,NA,NA,98%,NA,NA,NA,NA,NA,84%,NA
Fenwick Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=88891,"Pikes Hill, Lyndhurst, Hampshire, SO43 7NG",Southern Health NHS Foundation Trust,SO43 7NG,88891,Fenwick Hospital,NA,NA,NA,98%,NA,NA,NA,NA,NA,84%,NA
Fleet Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=103231,"Church Road, Fleet, Hampshire, GU51 4LZ",Southern Health NHS Foundation Trust,GU51 4LZ,103231,Fleet Community Hospital,NA,NA,NA,98%,NA,NA,NA,NA,NA,84%,NA
Fordingbridge Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=94354,"Bartons Road, Fordingbridge, SP6 1JD",Southern Health NHS Foundation Trust,SP6 1JD,94354,Fordingbridge Hospital,NA,No rating,NA,98%,NA,NA,NA,NA,NA,84%,NA
Gosport War Memorial Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2844,"Bury Road, Gosport, Gosport, Hampshire, PO12 3PW",Southern Health NHS Foundation Trust,PO12 3PW,2844,Gosport War Memorial Hospital - Portsmouth Hospitals NHS Trust,NA,No rating,NA,NA,NA,NA,94%,79%,64%,NA,NA
Hythe Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=88892,"Beaulieu Road, Hythe, Southampton, Hampshire, SO45 4ZB",Southern Health NHS Foundation Trust,SO45 4ZB,88892,Hythe Hospital,NA,No rating,NA,98%,NA,NA,NA,NA,NA,84%,NA
Hythe Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=135604,"Beaulieu Road, Hythe, Southampton, Hampshire, SO45 4ZB",Southern Health NHS Foundation Trust,SO45 4ZB,135604,Hythe Hospital,NA,No rating,NA,98%,NA,NA,NA,NA,NA,84%,NA
Lymington New Forest Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=88893,"Wellworthy Road, Lymington, Hampshire, SO41 8QD",Southern Health NHS Foundation Trust,SO41 8QD,88893,Lymington New Forest Hospital,NA,NA,NA,98%,NA,NA,NA,NA,NA,84%,NA
Milford On Sea War Memorial Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=100046,"Sea Road, Milford On Sea, Lymington, Hampshire, SO41 0PG",Southern Health NHS Foundation Trust,SO41 0PG,100046,Milford War Memorial Hospital,NA,NA,NA,97%,NA,NA,NA,87%,71%,86%,NA
Moorgreen Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2968,"Botley Road, West End, Southampton, Hampshire, SO30 3JB",Southern Health NHS Foundation Trust,SO30 3JB,2968,Moorgreen Hospital,NA,No rating,NA,98%,NA,NA,NA,NA,NA,84%,NA
Odiham Cottage Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=89568,"Buryfields, Odiham, Hook, Hampshire, RG29 1NE",Southern Health NHS Foundation Trust,RG29 1NE,89568,Odiham Cottage Hospital,NA,NA,NA,98%,NA,NA,NA,NA,NA,84%,NA
Parklands Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=116171,"Aldermaston Road, Basingstoke, Hampshire, RG24 9RH",Southern Health NHS Foundation Trust,RG24 9RH,116171,Parklands Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parklands Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=94287,"Aldermaston Road, Basingstoke, Hampshire, RG24 9RH",Southern Health NHS Foundation Trust,RG24 9RH,94287,Parklands Hospital,NA,NA,NA,98%,NA,NA,NA,NA,NA,84%,NA
Petersfield Hospital - Southern Health NHS Foundation Trust,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=88955,"Swan Street, Petersfield, Hampshire, GU32 3LB",Southern Health NHS Foundation Trust,GU32 3LB,88955,Petersfield Hospital - Southern Health NHS Foundation Trust,NA,No rating,NA,98%,NA,NA,NA,NA,NA,84%,NA
Princess Anne Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=114920,"Coxford Road, Southampton, Hampshire, SO16 5YA",Southern Health NHS Foundation Trust,SO16 5YA,114920,Princess Anne Hospital,NA,Good,NA,NA,100%,NA,97%,93%,77%,NA,NA
Romsey Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=88957,"Winchester Hill, Romsey, Hampshire, SO51 7ZA",Southern Health NHS Foundation Trust,SO51 7ZA,88957,Romsey Hospital,NA,No rating,NA,98%,NA,NA,NA,NA,NA,84%,NA
Royal South Hants Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=114921,"Graham Road, Southampton, Hampshire, SO14 0YG",Southern Health NHS Foundation Trust,SO14 0YG,114921,Southampton NHS Treatment Centre,NA,Outstanding,NA,97%,98%,NA,NA,NA,NA,NA,NA
St James' Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2953,"Locksway Road, Southsea, Hampshire, PO4 8LD",Southern Health NHS Foundation Trust,PO4 8LD,2953,St James,NA,No rating,NA,97%,NA,NA,NA,87%,71%,86%,NA
Victoria Cottage Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=101055,"North Street, Emsworth, Hampshire, PO10 7DD",Southern Health NHS Foundation Trust,PO10 7DD,101055,Victoria Cottage Hospital,NA,NA,NA,98%,NA,NA,NA,NA,NA,84%,NA
Western Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2483,"Walnut Grove, Southampton, Hampshire, SO16 4XE",Southern Health NHS Foundation Trust,SO16 4XE,2483,Western Community Hospital,NA,No rating,NA,97%,NA,NA,NA,87%,71%,86%,NA
Ormskirk and District General Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=886,"Wigan Road, Ormskirk, Lancashire, L39 2AZ",Southport and Ormskirk Hospital NHS Trust,L39 2AZ,886,Ormskirk and District General Hospital,NA,NA,92%,NA,98%,NA,94%,65%,64%,NA,NA
Southport and Formby District General Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1412,"Town Lane, Southport, Merseyside, PR8 6PN",Southport and Ormskirk Hospital NHS Trust,PR8 6PN,1412,Southport and Formby District General Hospital,NA,Requires Improvement,88%,NA,95%,NA,94%,65%,64%,NA,NA
Queen Mary - St George's University Hospitals NHS Foundation Trust,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=29686,"Roehampton Lane, Roehampton, London, SW15 5PN",St George's University Hospitals NHS Foundation Trust,SW15 5PN,29686,Queen Mary - St George's University Hospitals NHS Foundation Trust,NA,Requires Improvement,NA,98%,95%,NA,90%,89%,78%,NA,NA
St George's At Kings College Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1960,"Denmark Hill, London, Greater London, SE5 9RS",St George's University Hospitals NHS Foundation Trust,SE5 9RS,1960,King's College Hospital,NA,Requires Improvement,80%,NA,95%,NA,84%,76%,55%,NA,NA
St George's Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1334,"Blackshaw Road, London, Greater London, SW17 0QT",St George's University Hospitals NHS Foundation Trust,SW17 0QT,1334,St George's Hospital,NA,Requires Improvement,80%,98%,97%,NA,90%,89%,78%,NA,NA
St. George's At Teddington Memorial Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=99620,"Hampton Road, Teddington, Middlesex, TW11 0JL",St George's University Hospitals NHS Foundation Trust,TW11 0JL,99620,Teddington Memorial Hospital,NA,NA,NA,96%,NA,NA,NA,88%,73%,NA,NA
Ormskirk And District General Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=113792,"Wigan Road, Ormskirk, Lancashire, L39 2AZ",St Helens and Knowsley Hospitals NHS Trust,L39 2AZ,113792,Ormskirk and District General Hospital,NA,NA,92%,NA,98%,NA,94%,65%,64%,NA,NA
Royal Liverpool Childrens Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=113678,"Alder Hey Hospital, Eaton Road, West Derby, Liverpool, Merseyside, L12 2AP",St Helens and Knowsley Hospitals NHS Trust,L12 2AP,113678,Alder Hey Children's NHS Foundation Trust,NA,Good,81%,92%,95%,NA,96%,93%,75%,73%,NA
Royal Liverpool University Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=113679,"Prescot Street, Liverpool, Merseyside, L7 8XP",St Helens and Knowsley Hospitals NHS Trust,L7 8XP,113679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Southport And Formby District General Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=113791,"Town Lane, Southport, Merseyside, PR8 6PN",St Helens and Knowsley Hospitals NHS Trust,PR8 6PN,113791,Southport and Formby District General Hospital,NA,Requires Improvement,88%,NA,95%,NA,94%,65%,64%,NA,NA
St Helens Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=724,"Marshalls Cross Road, St. Helens, Merseyside, WA9 3DA",St Helens and Knowsley Hospitals NHS Trust,WA9 3DA,724,St Helens Hospital,NA,Outstanding,NA,NA,98%,NA,95%,94%,83%,NA,NA
University Hospital Aintree,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=113790,"Fazakerley Hospital, Lower Lane, Liverpool, Merseyside, L9 7AL",St Helens and Knowsley Hospitals NHS Trust,L9 7AL,113790,Aintree University Hospital,NA,Requires Improvement,88%,NA,93%,NA,95%,86%,68%,NA,NA
Walton Hospital Rice Lane,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=130868,"Rice Lane, Liverpool, Merseyside, L9 1NL",St Helens and Knowsley Hospitals NHS Trust,L9 1NL,130868,Walton Hospital Rice Lane,NA,NA,NA,NA,NA,NA,95%,94%,83%,NA,NA
Warrington Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=113793,"Lovely Lane, Warrington, Cheshire, WA5 1QG",St Helens and Knowsley Hospitals NHS Trust,WA5 1QG,113793,Warrington Hospital,NA,Good,75%,NA,96%,NA,93%,75%,73%,NA,NA
Whiston Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=77,"Warrington Road, Prescot, Merseyside, L35 5DR",St Helens and Knowsley Hospitals NHS Trust,L35 5DR,77,Whiston Hospital,NA,Good,85%,NA,94%,NA,95%,94%,83%,NA,NA
Cavendish Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=99852,"Manchester Road, Buxton, Derbyshire, SK17 6TE",Stockport NHS Foundation Trust,SK17 6TE,99852,Cavendish Hospital,NA,No rating,NA,97%,NA,NA,NA,84%,50%,NA,NA
Stepping Hill Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1760,"Stepping Hill Hospital, Poplar Grove, Stockport, Cheshire, SK2 7JE",Stockport NHS Foundation Trust,SK2 7JE,1760,Stepping Hill Hospital,NA,Requires Improvement,83%,93%,94%,NA,93%,70%,52%,NA,NA
Abraham Cowley Unit,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2687,"Holloway Hill, Lyne, Chertsey, Surrey, KT16 0AE",Surrey and Borders Partnership NHS Foundation Trust,KT16 0AE,2687,St Peter's Hospital,NA,Good,73%,NA,98%,NA,100%,65%,35%,NA,NA
Blake Ward,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2843,"Abraham Cowley Unit, Holloway Hill, Lyne, Chertsey, Surrey, KT16 0AE",Surrey and Borders Partnership NHS Foundation Trust,KT16 0AE,2843,St Peter's Hospital,NA,Good,73%,NA,98%,NA,100%,65%,35%,NA,NA
Farnham Road Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=3010,"Farnham Road, Guildford, Surrey, GU2 7LX",Surrey and Borders Partnership NHS Foundation Trust,GU2 7LX,3010,Farnham Road Hospital,NA,NA,NA,NA,NA,NA,NA,87%,83%,90%,NA
Frimley Park Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=114688,"Portsmouth Road, Frimley, Camberley, Surrey, GU16 7UJ",Surrey and Borders Partnership NHS Foundation Trust,GU16 7UJ,114688,Frimley Park Hospital,NA,Outstanding,89%,98%,98%,NA,98%,88%,68%,NA,NA
Royal Surrey County Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=115148,"Egerton Road, Guildford, Surrey, GU2 7XX",Surrey and Borders Partnership NHS Foundation Trust,GU2 7XX,115148,Royal Surrey County Hospital,NA,Good,86%,100%,96%,NA,94%,87%,71%,NA,NA
Spenser Ward,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2354,"Abraham Cowley Unit, Holloway Hill, Lyne, Chertsey, Surrey, KT16 0AE",Surrey and Borders Partnership NHS Foundation Trust,KT16 0AE,2354,St Peter's Hospital,NA,Good,73%,NA,98%,NA,100%,65%,35%,NA,NA
St Peter's Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2722,"Guildford Road, Chertsey, Surrey, KT16 0PZ",Surrey and Borders Partnership NHS Foundation Trust,KT16 0PZ,2722,St Peter's Hospital,NA,Good,73%,NA,98%,NA,100%,65%,35%,NA,NA
Caterham Dene Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=844,"Church Road, Caterham, Surrey, CR3 5RA",Surrey and Sussex Healthcare NHS Trust,CR3 5RA,844,Caterham Dene Community Hospital,NA,NA,NA,98%,NA,NA,NA,NA,NA,NA,NA
Crawley Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=102316,"West Green Drive, Crawley, West Sussex, RH11 7DH",Surrey and Sussex Healthcare NHS Trust,RH11 7DH,102316,Crawley Hospital- Sussex Community NHS Trust,NA,No rating,NA,97%,NA,NA,NA,87%,68%,NA,NA
East Surrey Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=114316,"Canada Avenue, Redhill, RH1 5RH",Surrey and Sussex Healthcare NHS Trust,RH1 5RH,114316,East Surrey Hospital,NA,Outstanding,92%,NA,95%,NA,90%,91%,80%,NA,NA
Horsham Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1708,"Hurst Road, Horsham, West Sussex, RH12 2DR",Surrey and Sussex Healthcare NHS Trust,RH12 2DR,1708,Horsham Hospital,NA,NA,NA,97%,NA,NA,NA,87%,68%,NA,NA
North Downs Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=116706,"46 Tupwood Lane, Caterham, Surrey, CR3 6DP",Surrey and Sussex Healthcare NHS Trust,CR3 6DP,116706,North Downs Hospital,NA,Good,NA,NA,98%,NA,99%,NA,NA,NA,NA
Arundel & District Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=29319,"Arundel &amp; District Hospital, Chichester Road, Arundel, Arundel, Sussex, BN18 0AB",Sussex Community NHS Foundation Trust,BN18 0AB,29319,Arundel & District Hospital,NA,NA,NA,97%,NA,NA,NA,87%,68%,NA,NA
Bognor Regis War Memorial Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=29318,"Bognor Regis War Memorial Hospital, Shripney Road, Bognor Regis, PO22 9PP",Sussex Community NHS Foundation Trust,PO22 9PP,29318,Bognor Regis War Memorial Hospital,NA,NA,NA,97%,NA,NA,NA,87%,68%,NA,NA
Brighton General Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=734,"Elm Grove, Elm Grove, Brighton, East Sussex, BN2 3EW",Sussex Community NHS Foundation Trust,BN2 3EW,734,Brighton General Hospital,NA,No rating,NA,NA,94%,NA,95%,75%,69%,NA,NA
Crawley Hospital- Sussex Community NHS Trust,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=111319,"West Green Drive, Crawley, West Sussex, RH11 7DH",Sussex Community NHS Foundation Trust,RH11 7DH,111319,Crawley Hospital- Sussex Community NHS Trust,NA,No rating,NA,97%,NA,NA,NA,87%,68%,NA,NA
Crowborough War Memorial Hospital - Sussex Community NHS Foundation Trust,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=114116,"Southview Road, Crowborough, East Sussex, TN6 1HB",Sussex Community NHS Foundation Trust,TN6 1HB,114116,Crowborough War Memorial Hospital - Sussex Community NHS Foundation Trust,NA,No rating,NA,97%,NA,NA,NA,87%,68%,NA,NA
Horsham Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=88840,"Hurst Road, Horsham, West Sussex, RH12 2DR",Sussex Community NHS Foundation Trust,RH12 2DR,88840,Horsham Hospital,NA,NA,NA,97%,NA,NA,NA,87%,68%,NA,NA
Horsham Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=29321,"Hurst Road, Horsham, RH12 2DR",Sussex Community NHS Foundation Trust,RH12 2DR,29321,Horsham Hospital,NA,NA,NA,97%,NA,NA,NA,87%,68%,NA,NA
Lewes Victoria Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=114117,"Nevill Road, Lewes, East Sussex, BN7 1PE",Sussex Community NHS Foundation Trust,BN7 1PE,114117,Lewes Victoria Hospital,NA,NA,NA,98%,NA,NA,97%,82%,62%,NA,NA
Midhurst Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=100143,"Dodsley Lane, Easebourne, Midhurst, West Sussex, GU29 9AW",Sussex Community NHS Foundation Trust,GU29 9AW,100143,Midhurst Community Hospital,NA,NA,NA,97%,NA,NA,NA,87%,68%,NA,NA
Uckfield Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=114118,"Framfield Road, Uckfield, East Sussex, TN22 5AW",Sussex Community NHS Foundation Trust,TN22 5AW,114118,Uckfield Hospital,NA,NA,NA,98%,NA,NA,97%,82%,62%,NA,NA
Aldrington Centre,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2567,"35 New Church Road, Aldrington Centre, Hove, East Sussex, BN3 4AG",Sussex Partnership NHS Foundation Trust,BN3 4AG,2567,Aldrington Centre,NA,NA,NA,NA,NA,NA,NA,52%,56%,96%,NA
Amberstone Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2437,"Carters Corner, Amberstone Hospital, Hailsham, East Sussex, BN27 4HU",Sussex Partnership NHS Foundation Trust,BN27 4HU,2437,Amberstone Hospital,NA,NA,NA,NA,NA,NA,NA,52%,56%,96%,NA
Chalkhill,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=97797,"Chalkhill, Based on the Princess Royal Hospital site, Lewes Road, Haywards Heath, West Sussex, RH16 4NQ",Sussex Partnership NHS Foundation Trust,RH16 4NQ,97797,Chalkhill,NA,No rating,NA,NA,NA,NA,NA,52%,56%,96%,NA
Department of Psychiatry,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2428,"Eastbourne District Gen Hospital, Kings Drive, Eastbourne, East Sussex, BN21 2UD",Sussex Partnership NHS Foundation Trust,BN21 2UD,2428,Eastbourne District General Hospital,NA,Good,96%,98%,99%,NA,97%,82%,62%,NA,NA
Langley Green Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2901,"Martyrs Avenue, Crawley, West Sussex, RH11 7EJ",Sussex Partnership NHS Foundation Trust,RH11 7EJ,2901,Langley Green Hospital,NA,No rating,NA,NA,NA,NA,NA,52%,56%,96%,NA
Meadowfield,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=97798,"Swandean, Arundel Road, Worthing, West Sussex, BN13 3EF",Sussex Partnership NHS Foundation Trust,BN13 3EF,97798,Meadowfield,NA,NA,NA,NA,NA,NA,NA,52%,56%,96%,NA
Mill View Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2980,"Nevill Avenue, Hove, BN3 7HY",Sussex Partnership NHS Foundation Trust,BN3 7HY,2980,Mill View Hospital,NA,NA,NA,NA,NA,NA,NA,52%,56%,96%,NA
Orchard House,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=115254,"Nevill Road, Lewes, East Sussex, BN7 1PE",Sussex Partnership NHS Foundation Trust,BN7 1PE,115254,Lewes Victoria Hospital,NA,NA,NA,98%,NA,NA,97%,82%,62%,NA,NA
The Acre,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2936,"29 Wordsworth Road, Acre Day Hospital, Worthing, West Sussex, BN11 3NJ",Sussex Partnership NHS Foundation Trust,BN11 3NJ,2936,The Acre,NA,NA,NA,NA,NA,NA,NA,52%,56%,96%,NA
The Hellingly Centre,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2823,"The Drive, Hailsham, BN27 4EP",Sussex Partnership NHS Foundation Trust,BN27 4EP,2823,The Hellingly Centre,NA,No rating,NA,NA,NA,NA,NA,52%,56%,96%,NA
Worthing Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=116007,"Lyndhurst Road, Worthing, West Sussex, BN11 2DH",Sussex Partnership NHS Foundation Trust,BN11 2DH,116007,Worthing Hospital,NA,NA,NA,NA,NA,NA,NA,52%,56%,NA,NA
Shirehill Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=128478,"Bute Street, Glossop, Derbyshire, SK13 7QP",Tameside Hospital NHS Foundation Trust,SK13 7QP,128478,Shirehill Hospital,NA,NA,NA,NA,NA,NA,91%,82%,70%,NA,NA
Tameside & Glossop Integrated Care NHS Foundation Trust,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2210,"Fountain St, Ashton Under Lyne, Lancashire, OL6 9RW",Tameside Hospital NHS Foundation Trust,OL6 9RW,2210,Tameside & Glossop Integrated Care NHS Foundation Trust,NA,Good,68%,NA,96%,NA,91%,82%,70%,NA,NA
Bridgwater Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=88906,"Bower Lane, Bridgwater, Somerset, TA6 4GU",Taunton and Somerset NHS Foundation Trust,TA6 4GU,88906,Bridgwater Community Hospital,NA,No rating,NA,98%,NA,NA,NA,87%,73%,86%,NA
Frome Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=128290,"Enos Way, Frome, Somerset, BA11 2FH",Taunton and Somerset NHS Foundation Trust,BA11 2FH,128290,Frome Community Hospital ,NA,NA,NA,98%,NA,NA,NA,87%,73%,86%,NA
Minehead Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=88908,"Luttrell Way, Minehead, Somerset, TA24 6DF",Taunton and Somerset NHS Foundation Trust,TA24 6DF,88908,Minehead Community Hospital,NA,NA,NA,98%,NA,NA,NA,87%,73%,86%,NA
Musgrove Park Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=461,"Parkfield Drive, Taunton, Somerset, TA1 5DA",Taunton and Somerset NHS Foundation Trust,TA1 5DA,461,Musgrove Park Hospital,NA,Good,95%,NA,96%,NA,97%,94%,82%,NA,NA
Shepton Mallet Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=380,"Old Wells Road, Shepton Mallet, Somerset, BA4 4PG",Taunton and Somerset NHS Foundation Trust,BA4 4PG,380,Shepton Mallet Community Hospital,NA,No rating,NA,98%,NA,NA,NA,87%,73%,86%,NA
South Petherton Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=130924,"Bernard Way, South Petherton, Somerset, TA13 5EF",Taunton and Somerset NHS Foundation Trust,TA13 5EF,130924,South Petherton Community Hospital,NA,No rating,NA,98%,NA,NA,NA,87%,73%,86%,NA
Wellesley Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=147574,"Westpark, Chelston, Wellington, Somerset, TA21 9AD",Taunton and Somerset NHS Foundation Trust,TA21 9AD,147574,Wellesley Hospital,NA,NA,NA,NA,NA,NA,97%,94%,82%,NA,NA
Wincanton Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=108756,"Dancing Lane, Wincanton, Somerset, BA9 9DQ",Taunton and Somerset NHS Foundation Trust,BA9 9DQ,108756,Wincanton Community Hospital,NA,No rating,NA,98%,NA,NA,NA,87%,73%,86%,NA
Yeatman Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=113677,"Hospital Lane, Sherborne, Dorset, DT9 3JU",Taunton and Somerset NHS Foundation Trust,DT9 3JU,113677,Yeatman Hospital,NA,No rating,NA,96%,NA,NA,NA,82%,67%,91%,NA
"Auckland Park Hospital, Bishop Auckland",https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2732,"Westfield Road, Bishop Auckland, Durham, DL14 6AE","Tees, Esk and Wear Valleys NHS Foundation Trust",DL14 6AE,2732,"Auckland Park Hospital, Bishop Auckland",NA,NA,NA,NA,NA,NA,NA,76%,68%,85%,NA
